0,1,2,3,4,5,6,7,8,9,10,11,12,13
"S/ 2,600",(USD 677),S/ 150 Mantenimiento,"Av Antonio José De Sucre 1283, Pueblo Libre 15086, Perú","Pueblo Libre, Lima",98 m²,96 m²,3 dorm.,2 baños,"Alquiler de Departamento en Pueblo LibreContacto: Katherine Ross Berroa. id: 102. 911. 4. Si estas cansado de vivir en departamentos pequeños, te presento este hermoso amplio e iluminado en una zona super céntrica en Pueblo Libre, este flats consta de: 01 sala comedor super amplia. 03 dormitorios: ( principal con closet baño y terraza amplia) ; las habitaciones secundarias con closet y 1 con patio) 02 baños completos. 01 cocina cerrada con reposteros altos y bajos. 01 lavandería incluida dentro de la cocina. Pisos de parquet recién tratado. 1er piso, no tiene rampas. Todo esta pintado en color blanco. ingreso independiente. ubicacion: La av. La Marina con Sucre. Condición 2 meses de Garantía y 1 mes de adelanto. Que tenga sustento de ingreso y no infocorp. Seguridad 24 horas. **Mantenimiento: S/. 150 soles ( incluye agua, pago al personal de seguridad, limpieza de áreas comunes)",Comparar,Contactar,,
"S/ 2,800",S/ 10 Mantenimiento,"San Miguel, San Miguel",185 m²,185 m²,3 dorm.,3 baños,"Cs - Alquilo Duplex/san Miguel 3er. y 4to. Piso/balcon/3 Dor./2 Estudios/3 Baños -Comunicarse con carmen sanchez al celular 9. . 6. . 0. . 7. . 2. . 6. . 0. . 0. . 8. alquilo duplex para oficina A puerta cerrada O vivienda. 3er Y 4to piso con escaleras descansadas A la altura de la cuadra 15 de la marina zona centrica Y muy comercial. A 2 cuadras de plaza san miguel, de muy facil acceso por av universitaria, circuito de playas, sucre. A dos cuadras del colegio juan xxiii, A media cuadra del parque pershing! Consta de los siguientes ambientes: 3er piso: sala comedor. cocina con 2 lavaderos. 2 amplias habitaciones O oficinas con closets. 1 baño completo. 1 area de escritorio. 4to piso. 2 escaleras de acceso ( 1 escalera de caracol externa Y 1 interna mas amplia) 1 habitacion principal con baño completo incorporado. 2 walking closets principal con escritorio. balcon vista A la av. La marina. zona de parrillas O cocina. tendal con lavanderia grande. 2 habitaciones de servicio o depositos. 1 baño completo. no se paga mantenimiento. no cuenta con estacionamiento pero en la av la marina Y en el parque pershing se encuentra estacionamiento facilmente. ademas que contamos con una caseta de serenazgo lo cual nos da una mayor tranquilidad Y seguridad A la zona. no pierdas esta oportunidad! Comunicate con carmen sanchez al celular 9. . 6. . 0. . 7. . 2. . 6. . 0. . 0. . 8",Comparar,Contactar,,,,
"S/ 2,000",(USD 520),"Calle Santa Lucia Nº 102, Dpto 501","Pueblo Libre, Lima",97 m²,97 m²,3 dorm.,2 baños,"Alquilo Departamento IDContacto: narvy morales // cel: 922*435*495. Se Alquila bonito y amplio departamento, en el quinto (5to) piso, con vista a la calle. Ubicado cerca a diversos comercios, bancos, entre otros. Cuenta con: Sala - Comedor (con vista externa) Cocina - Lavandería (con puerta falsa) 03 Dormitorios con closet (el principal con vista externa) 02 Baños completos (01 en el dormitorio principal). Cuenta con intercomunicador. Pago de Mantenimiento: Aprox. 120 soles al mes. Pago de Alquiler: 01 mes de adelanto y 02 meses de garantía.",Comparar,Contactar,,,
"S/ 2,600",7%,S/ 1 Mantenimiento,"AV LA MARINA CUADRA 15 ,SAN MIGUEL","San Miguel, Lima",185 m²,185 m²,5 dorm.,3 baños,"Lg Alquiler de Departamento 2 Dorm. en San Miguel U OficinaContactame leny gaviria: 9. 3. 4. 9. 0. 2. 7. 5. 2. Lindo duplex en alquiler, se estÀ alquilando como vivienda U oficina puerta cerrada. ubicado A pocas cuadras de plaza san miguel, tercer piso cerca A la av la marina Y av universitaria con acceso facil al circuito de playa, P. libre, callao etc una zona muy accesible A diversos negocios Y zonas de recreacion. 3er piso: sala comedor. cocina. 2 amplias habitaciones que podrian ser oficinas con closets. 1 baño completo. 4to piso. 2 escaleras de acceso ( 1 escalera de caracol externa Y 1 interna mas amplia) 1 habitacion principal con baño completo incorporado. walking closet principal con escritorio. walking closets secundario con balcon vista A la av. La marina. zona de parrillas O cocina. tendal con lavanderia grande. 2 habitaciones de servicio con 1 baño completo. no se paga mantenimiento. no cuenta con estacionamiento pero hay estacionamiento cerca. Y hay caseta de serenazgo cerca. requisitos: sustentar ingresos Y buen reporte de infocorp. modalidad 2X1",Comparar,Contactar,,
"S/ 2,000",S/ 200 Mantenimiento,"Mateo Salado, Pueblo Libre",98 m²,98 m²,3 dorm.,2 baños,"Alquilo Amplio Departamento/98 m2. en Plena Av Mariano CornejoHolaaa! Si, desea agendar visita escriba directo al whatsapp Ver datos, dpto disponible para visita fisica A partir de la primera semana de febrero 2023. Descripción: no pierdas esta oportunidad de alquilar este amplio departamento con vista panorámica hacia la huaca mateo salado alejado de tantos edificios que abundan en todo lugar Y convivir con pocas familias, ya que es un edificio de 8 pisos Y dos departamentos por piso. Ubicado cerca al parque de la bandera, donde tambien podrás llegar hacia la av. Universitaria por la av. Mariano cornejo en sus 100 mt2. , si tu familia no supera A más de 4 personas podrán tener la tranquilidad Y comodidad que vivir en este departamento les ofrece debido al distanciamiento. Esta distribuido en su 98 mt2. Llegando por el ascensor directo hacia la sala comedor, la sala tiene una enorme mampara del piso al techo, que te brinda iluminación, ventilación además una estupenda vista panorámica hacia el exterior, mas una cocina americana, luego mirando de frente hacia el lado derecho, te conduce un pasadizo hacia el baño de visita Y continua la zona de los dormitorios, dos dormitorios secundarios con closet más un baño completo con ducha que comparten los dos dormitorios al final del pasadizo se encuentra el dormitorio principal con baño incorporado con tina Y tiene un closet grande del piso al techo con bastante iluminacion Y ventilacion. Es funcional Y muy adaptable A la necesidad de sus habitantes, no pierdas esta oportunidad agenda tu visita. Mantenimiento: 200 soles. Condicion: 2x1 - minimo: un año. precio: 2, 000 soles (no negociable) sin estacionamiento. Disponible el 7 de febrero 2023. agendemos cita al whatsapp 9. 2. 2. 5. 0. 2. 6. 4. 3 sue:)",Comparar,Contactar,,,,
"S/ 1,897","Av Brasil , Jesús María","Jesús María, Lima",101 m²,101 m²,3 dorm.,2 baños,Alquilo Dpto en Jesús María/1 Er Piso/100 M2/ 3 Hab/ S/1900 SolesAlquilo Departamento Frente a Parque-Jesus Maria. *1er piso. *100 mt2. *3 dormitorios. *2 baños y medio. *Sala. *Comedor. *Cocina. *Area de lavanderia. *2x1. *Renta: S/1900. *Si mascota. *Estacionamiento cerca. *Mantenimiento S/ 200. (Áreas comunes + agua + arbitrios) *Servicio de luz independiente. 2x1 ( 2 de garantía y 1 mes de adelanto) *Diponibilidad Inmediata. *Agenda tu visita. Contacto: Edson Leonardo Rojas. 9. 3. 8. 5. 7. 5. 7. 9. 3.,Comparar,Contactar,,,,
"S/ 1,650",(USD 412),Tnte Diego Ferre 257,"San Miguel, Lima",100 m²,100 m²,3 dorm.,2 baños,"Hermoso Dpto de Estreno Super Céntrico Cerca a La Universidad Católica y UnmsmAgente: Harold. Cel: 979*153*063. Hermoso dpto de estreno super céntrico cerca a la Universidad Católica y unmsm. Consta de sala comedor, 3 habitaciones, 2 baños, ubicado en 4o piso sin ascensor y sin cochera. 100m2. No se paga mantenimiento. Contrato de 1 año. Se pide buen crédito y prueba de ingresos. Tnte Diego Ferre 257 San Miguel",Comparar,Contactar,,,
"S/ 2,200",Av. Los Insurgentes 556,"San Miguel, Lima",122 m²,122 m²,3 dorm.,1 baño,Alquilo Amplio Dpto en Primer Piso San Miguel IDContacto: olinda barrueto // cel: Ver datos. dpto remodelado con puertas Y maparas anti ruido. 3 dormitorios (2 con closet Y espejos) 1 baño completo (cuenta con rapiducha Y ventilador) amplia sala comedor con piso de porcelanato Y mampara. cocina con reposteros nuevos cuyas puertas abren Y cierran suavemente. espacio para comedor de diario. area de lavanderia con instalaciones para lavadora. 1 patio al fondo del dpto con amplias mamparas antiruido. condiciones: 2 meses de garantia Y 1 mes de adelanto. no mascotas. demostrar ingresos. impecable en el sistema financiero,Comparar,Contactar,,,,
"S/ 2,600",S/ 1 Mantenimiento,Psje. Calderón de La Barca 100,"San Miguel, Lima",185 m²,185 m²,3 dorm.,3 baños,"Tv./ Duplex / 185 m2 / 3 Dorm + 2 C/s o Depósitos - 9.9.2.8.6.6.8.2.1.**solo clientes directos** **Amplio duplex en Alquiler, ubicado en 3er y 4to piso de una casa y a media cuadra de Bonito Parque - San Miguel** **contacto: 9. 9. 2. 8. 6. 6. 8. 2. 1. ** **185m² distribuidos en: Sala - Comedor, Área de Cocina, Área de Lavandería, 3 Dormitorios con Closet, 2 Baños Completos + 2 Pequeños cuartos de servicio (o Depósitos) + Baño de Servicio + Linda Terraza** **no hay Cochera pero puede estacionarse al rededor del Parque** **costo mensual: 2600 soles** **condición: 2x1** **luz independiente y agua compartida** **Se acepta mascota** **sólo personas con dni** **Muy Céntrica Ubicación: A media Cdra. De Av. La Marina (Alt. De la 15) y a unos pasos de Plaza San Miguel** **solo se responderá A quienes dejen su numero de contacto. Gracias**",Comparar,Contactar,,,
"S/ 2,400","S/ 9,999 Mantenimiento","Maranga, San Miguel",107 m²,107 m²,3 dorm.,2 baños,"Alquilo Departamento de Estreno San Miguel.Alquilo departamento de estreno. urb maranga – san miguel. Precioso departamento nuevecito 5to piso ( No ascensor) con una hermosa vista externa frente a parque. Ubicación: altura avda Rafael Escardo / avda Precursores, parque Virgen de Fatima. A. T. 107 m2. Todo el departamento con pisos de porcelanato, inodoros marca trébol, iluminación Led en todos. Sus ambientes. 03 dormitorios espaciosos con amplias ventanas, 02 baños completos, el dormitorio principal cuenta con baño privado. Sala, Comedor, Bar súper moderno elegante, Cocina de ambiente amplísimo con cocina empotrada mas campana, y comedor de diario, Lavandería súper cómoda. Alquiler S/ 2, 400 ( Incluye arbitrios, luces áreas comunes. ) algo negociable. Cochera opcional s/ 300 ( queda disponible 01 en este momento) Beneficios: Medidor propio Luz y medidor propio de Gas cálida. Requisitos: • 2 meses deposito garantía y 1 mes pago adelantado ( 2 X 1) • Estar bien en infocord. • Demostrar Ingresos. • Contrato Alquiler por 01 año Notariado. • no mascotas. informes Y visitas al Ver datos o whapsath +0Ver datos",Comparar,Contactar,,,,
